,match_probability,source_dataset_l,source_dataset_r,unique_id_l,unique_id_r,firstname_l,firstname_r,lastname_l,lastname_r,petname_l,petname_r,dob_l,dob_r,sex_l,sex_r,match_key
2949,100.0,facility_df,house_df,1209,3482,Ababu,Ababu,Crispus,Crispus,Lwasa,Lwasa,2006-04-23,2006-04-23,1,1,0
1568,100.0,facility_df,house_df,594,1217,Abalyogera,Abalyogera,Namulondo,Namulondo,Omutima,,1941-07-13,1941-07-06,2,2,0
1682,100.0,facility_df,house_df,989,655,Abasa,Abasa,Bukosi,Bukosi,Awiti,Jajja,1974-07-12,1974-07-05,1,1,0
1430,100.0,facility_df,house_df,1865,3375,Abasa,Abasa,Nathan,Nathan,Nakalanzi,Nalubwama,1934-04-14,1934-04-27,1,1,0
2910,100.0,facility_df,house_df,680,3246,Abatuka,Abatuka,Nahiya,Nahiya,Fanda,Fanda,1985-02-25,1985-02-25,2,2,0
1829,100.0,facility_df,house_df,1393,3282,Abbo,Abbo,Shatra,Shatra,Kisanja,,1934-04-16,1934-05-06,2,2,0
2024,100.0,facility_df,house_df,1963,1455,Abdal,Abdul,Ntege,Ntege,Igomu,Igomu,2016-12-24,2017-01-06,1,1,1
1906,100.0,facility_df,house_df,1587,491,Abdal,Abdul,Charles,Charles,Matovu,Matovu,2019-06-28,2019-07-11,1,1,1
1551,100.0,facility_df,house_df,652,3125,Abdalah,Abdalah,Edrine,Edrine,Basambu,Nadduli,1953-10-12,1953-10-25,1,1,0
2399,100.0,facility_df,house_df,2463,1319,Abdallah,Abdallah,Kusaini,Kusaini,Jajja,Jajja,1994-11-23,1994-12-06,1,1,0
2909,100.0,facility_df,house_df,237,2313,Abdallah,Abdallah,Richard,Richard,Afa,Afa,2021-09-12,2021-09-12,1,1,0
2456,100.0,facility_df,house_df,1462,2313,Abdallah,Abdallah,Richard,Richard,Afa,Afa,2021-08-23,2021-09-12,1,1,0
1626,100.0,facility_df,house_df,1383,2170,Abdallah,Abdallah,Kaamu,Kaamu,Nkima,Kiiza,1949-11-21,1949-12-04,1,1,0
907,100.0,facility_df,house_df,1406,75,Abdu,Abdu,Babi,Babi,Kamya,Isanga,1981-11-14,1981-11-27,1,1,0
2886,100.0,facility_df,house_df,2020,77,Abdu,Abdu,Muzeyi,Muzeyi,Muhammed,Muhammed,1969-03-20,1969-03-20,1,1,0
2787,100.0,facility_df,house_df,1980,3850,Abdu,Abdu,Muwunba,Muwunba,Mwijukye,Mwijukye,1996-04-19,1996-04-19,1,1,0
2847,100.0,facility_df,house_df,2455,176,Abdu-Hakim,Abdu-Hakim,Kavekuno,Kavekuno,Najjuma,Najjuma,2017-11-23,2017-11-23,1,1,0
2957,100.0,facility_df,house_df,2568,3952,Abdu-Hakim,Abdu-Hakim,Rahuman,Rahuman,Kalyango,Kalyango,1939-03-05,1939-03-05,1,1,0
1613,100.0,facility_df,house_df,645,1042,Abdul-Shakulu,Abdul-Shakulu,Aluvin,Aluvin,Nakyobe,Mwesige,2022-11-23,2022-12-13,1,1,0
2723,100.0,facility_df,house_df,838,755,Abdusalamu,Abdusalamu,Lwabaga,Lwabaga,Lubega,Lubega,1959-01-24,1959-01-24,1,1,0
2757,100.0,facility_df,house_df,1752,3432,Abo,Abo,Phiona,Phiona,Gama,Gama,2013-01-12,2013-01-12,2,2,0
2691,100.0,facility_df,house_df,373,3464,Abubakali,Abubakali,Luwazo,Luwazo,Katabazi,Katabazi,1993-10-27,1993-10-27,1,1,0
2540,100.0,facility_df,house_df,2686,226,Abubakali,Abubakali,Lunkumu,Lunkumu,Jjunju,Jjunju,1934-08-07,1934-08-20,1,1,0
1052,100.0,facility_df,house_df,999,3464,Abubakali,Abubakali,Luwazo,Luwazo,Nalubega,Katabazi,1993-11-07,1993-10-27,1,1,0
2541,100.0,facility_df,house_df,2583,226,Abubakali,Abubakali,Lunkumu,Lunkumu,Jjunju,Jjunju,1934-08-07,1934-08-20,1,1,0
2438,100.0,facility_df,house_df,2761,2391,Abudala,Abudala,Bazibu,Bazibu,Mugenzi,Mugenzi,1991-05-15,1991-05-28,1,1,0
2955,100.0,facility_df,house_df,1612,2846,Abudu,Abudu,Shalifu,Shalifu,Gimei,Gimei,1993-09-09,1993-09-09,1,1,0
2443,100.0,facility_df,house_df,664,2307,Afani,Afani,Muntazali,Muntazali,Masolo,Masolo,1935-01-07,1935-01-20,1,1,0
1629,100.0,facility_df,house_df,2490,3025,Afiza,Afiza,Kisambira,Kisambira,Asingo,,1969-10-28,1969-11-10,2,2,0
1790,100.0,facility_df,house_df,887,1033,Afua,Afua,Biryeri,Biryeri,Nakulabye,,1982-09-02,1982-09-15,2,2,0
833,100.0,facility_df,house_df,955,3871,Afuwa,Afuwa,Naigaga,Naigaga,Buyaga,,1985-12-26,1986-01-15,2,2,0
1897,100.0,facility_df,house_df,1864,2228,Afuwa,Afuwa,Tape,Tape,Ssebo,,1968-11-13,1968-11-26,2,2,0
2113,100.0,facility_df,house_df,2028,260,Agnes,Agnes,Nabirye,Nabirye,Anda,Anda,1995-04-28,1995-04-21,2,2,0
2469,100.0,facility_df,house_df,1575,2262,Ahamada,Ahamada,Titus,Titus,Jjingo,Jjingo,1963-03-08,1963-03-21,1,1,0
2880,100.0,facility_df,house_df,2205,1211,Ahamada,Ahamada,Kalenzi,Kalenzi,Mwesigye,Mwesigye,2020-07-31,2020-07-31,1,1,0
1187,100.0,facility_df,house_df,316,1149,Ahamada,Ahamada,Kirunda,Kirunda,Nanteza,Hassan,1990-03-24,1990-04-06,1,1,0
